FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Crime or Offence
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,160,Offences: Group 7: Licensing offences
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,174,Crimes: Group 2: Causing to view sexual activity or images
S12000036,City of Edinburgh,Council Area,2016/2017,Ratio,Crimes Or Offences Recorded,67,Crimes: Group 3: Housebreaking
S12000036,City of Edinburgh,Council Area,2016/2017,Ratio,Crimes Or Offences Recorded,1,Offences: Group 7: Other misc. offences
S12000036,City of Edinburgh,Council Area,2016/2017,Ratio,Crimes Or Offences Recorded,6,Crimes: Group 4: Fire-raising
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,367,Offences: Group 8: Driving under the influence
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,75,Offences: Group 7: Wildlife offences
S12000036,City of Edinburgh,Council Area,2016/2017,Ratio,Crimes Or Offences Recorded,4,Crimes: Group 2: Rape & attempted rape
S12000036,City of Edinburgh,Council Area,2016/2017,Ratio,Crimes Or Offences Recorded,4,Offences: Group 6: Drunkenness and other disorderly conduct
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,7307,All Group 1: Non-sexual crimes of violence
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,721,Offences: Group 8: Mobile phone offences
S12000036,City of Edinburgh,Council Area,2016/2017,Ratio,Crimes Or Offences Recorded,8,Offences: Group 6: Racially aggravated conduct
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,84,Crimes: Group 2: Communicating indecently
S12000036,City of Edinburgh,Council Area,2016/2017,Ratio,Crimes Or Offences Recorded,15,Offences: Group 8: Dangerous and careless driving
S12000036,City of Edinburgh,Council Area,2016/2017,Ratio,Crimes Or Offences Recorded,1,Crimes: Group 5: Other crimes against society
S12000036,City of Edinburgh,Council Area,2016/2017,Ratio,Crimes Or Offences Recorded,0,Crimes: Group 2: Crimes associated with prostitution
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,7,Offences: Group 6: Racially aggravated conduct
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,6,Crimes: Group 4: Fire-raising
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,9535,All Group 8: Road traffic offences
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,76,Offences: Group 7: Wildlife offences
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,7426,All Group 1: Non-sexual crimes of violence
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,1065,Offences: Group 8: Mobile phone offences
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,1465,Offences: Group 8: Speeding
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,772,All Crimes
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,5,Crimes: Group 1: Robbery
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,124,All Group 4: Damage and reckless behaviour
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,10,Crimes: Group 2: Crimes associated with prostitution
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,34,Offences: Group 7: Environmental offences
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,265,Offences: Group 6: Urinating etc.
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,777,Offences: Group 8: Dangerous and careless driving
S12000036,City of Edinburgh,Council Area,2016/2017,Ratio,Crimes Or Offences Recorded,2,Crimes: Group 2: Other sexual crimes
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,1238,Crimes: Group 3: Theft from a motor vehicle
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,1716,Crimes: Group 5: Crimes against public justice
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,4510,All Group 5: Crimes against society
S12000036,City of Edinburgh,Council Area,2016/2017,Ratio,Crimes Or Offences Recorded,22,Crimes: Group 3: Fraud
S12000036,City of Edinburgh,Council Area,2016/2017,Ratio,Crimes Or Offences Recorded,6,Crimes: Group 5: Weapons possession (not used)
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,2371,Offences: Group 8: Other road traffic offences
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,0,Crimes: Group 1: Murder and culpable homicide
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,732,Offences: Group 8: Dangerous and careless driving
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,384,All Group 3: Crimes of dishonesty
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,350,Crimes: Group 1: Other non-sexual violence
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,192,Crimes: Group 2: Communicating indecently
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,10,Crimes: Group 2: Sexual assault
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,56,Offences: Group 7: Other misc. offences
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,23,Crimes: Group 3: Fraud
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,58,Offences: Group 7: Environmental offences
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,149,All Group 1: Non-sexual crimes of violence
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,6428,Crimes: Group 1: Common assault
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,411,Crimes: Group 1: Serious assault and attempted murder
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,7544,Crimes: Group 3: Other theft
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,0,Crimes: Group 5: Other crimes against society
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,1060,All Group 7: Miscellaneous offences
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,4,Crimes: Group 2: Causing to view sexual activity or images
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,7,Offences: Group 6: Urinating etc.
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,283,Crimes: Group 4: Fire-raising
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,6,Offences: Group 8: Driving under the influence
S12000036,City of Edinburgh,Council Area,1996/1997,Count,Crimes Or Offences Recorded,2871,Crimes: Group 3: Other dishonesty
S12000036,City of Edinburgh,Council Area,1996/1997,Count,Crimes Or Offences Recorded,5,Crimes: Group 1: Murder and culpable homicide
S12000036,City of Edinburgh,Council Area,1996/1997,Ratio,Crimes Or Offences Recorded,2,Crimes: Group 2: Rape & attempted rape
S12000036,City of Edinburgh,Council Area,1996/1997,Ratio,Crimes Or Offences Recorded,122,Crimes: Group 1: Common assault
S12000036,City of Edinburgh,Council Area,1996/1997,Count,Crimes Or Offences Recorded,8254,All Group 4: Damage and reckless behaviour
S12000036,City of Edinburgh,Council Area,1996/1997,Count,Crimes Or Offences Recorded,0,Crimes: Group 1: Death by dangerous driving
S12000036,City of Edinburgh,Council Area,1996/1997,Ratio,Crimes Or Offences Recorded,9,Crimes: Group 2: Sexual assault
S12000036,City of Edinburgh,Council Area,1996/1997,Ratio,Crimes Or Offences Recorded,15,Crimes: Group 5: Drugs - Supply
S12000036,City of Edinburgh,Council Area,1996/1997,Count,Crimes Or Offences Recorded,1158,Offences: Group 8: Driving under the influence
S12000036,City of Edinburgh,Council Area,1996/1997,Count,Crimes Or Offences Recorded,387,Crimes: Group 2: Sexual assault
S12000036,City of Edinburgh,Council Area,1996/1997,Count,Crimes Or Offences Recorded,794,All Group 2: Sexual crimes
S12000036,City of Edinburgh,Council Area,1996/1997,Count,Crimes Or Offences Recorded,1770,Crimes: Group 3: Fraud
S12000036,City of Edinburgh,Council Area,1996/1997,Ratio,Crimes Or Offences Recorded,85,Crimes: Group 3: Shoplifting
S12000036,City of Edinburgh,Council Area,1996/1997,Count,Crimes Or Offences Recorded,3796,Crimes: Group 3: Shoplifting
S12000036,City of Edinburgh,Council Area,1996/1997,Count,Crimes Or Offences Recorded,35377,All Group 3: Crimes of dishonesty
S12000036,City of Edinburgh,Council Area,1996/1997,Ratio,Crimes Or Offences Recorded,9,Crimes: Group 5: Weapons possession (not used)
S12000036,City of Edinburgh,Council Area,1996/1997,Ratio,Crimes Or Offences Recorded,14,Crimes: Group 1: Serious assault and attempted murder
S12000036,City of Edinburgh,Council Area,1996/1997,Ratio,Crimes Or Offences Recorded,83,Offences: Group 6: Threatening and abusive behaviour
S12000036,City of Edinburgh,Council Area,1996/1997,Ratio,Crimes Or Offences Recorded,18,All Group 2: Sexual crimes
S12000036,City of Edinburgh,Council Area,1996/1997,Ratio,Crimes Or Offences Recorded,160,All Group 1: Non-sexual crimes of violence
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,329,Crimes: Group 3: Theft by opening lockfast places
